girl_id,name_official_eng,name_romanization_eng,name,image_name,age,authority,birthday_date,birthday,blood,bust,class_name,club,club_eng,cv,cv_eng,description,description_eng,favorite_food,favorite_food_eng,favorite_subject,favorite_subject_eng,girl_type,hated_food,hated_food_eng,height,hip,hobby,hobby_eng,horoscope,horoscope_eng,name_hiragana,nickname,nickname_eng,school,school_eng,tweet_name,waist,weight,year,created_at
1,Kanae Hino,Kanae Hino,日野奏恵,73813af3618e0a78971564ff6146e9a5,18,Students,2015-10-25,1982-10-25,A,82,3B,吹奏楽部,Brass Band,,,吹奏楽部所属でトランペットを担当。<br>ジャズが好きで、<br>いつかプロになってジャズ生誕の地ニューオリンズでトランペットを吹くことが夢。<br>真面目な性格で河原で練習することもしばしば。,,ちくわ,Fish Sausage,音楽,Music,SWEET,いくら,None,163,80,ジャズ鑑賞,Listening To Jazz,さそり座,Scorpio,ひの かなえ,日野先輩,,聖櫻学園,Seiou Academy,kana_melody,56,45,3,2016-10-30 23:41:30
2,Ikuho Isezaki,Ikuho Isezaki,伊勢崎郁歩,fba7fd1bd5562e1d11c10e492aa52a12,17,Students,2015-05-27,1983-05-27,B,75,2C,かるた部,Karuta Club,宝木久美,Kumi Takaragi,競技かるたに情熱を傾ける2年生。<br>真面目かつ前向きな熱血少女で、<br>話題のほとんどがかるたに関すること。<br>かるたクイーンを目指して鍛錬の日々を送っており、毎朝の特訓を欠かさない。,,せんべい,Crackers,古典,Classic Literature,SWEET,カリフラワー,Cauliflower,157,80,百人一首、昼寝,Playing Karuta and Napping,ふたご座,Gemini,いせざき いくほ,伊勢崎,,聖櫻学園,Seiou Academy,isezakiiroha,55,48,2,2016-10-30 23:41:30
3,Tamaki Hayashida,Tamaki Hayashida,林田たまき,7853ad71d7ca2f83b3576e3ca9b0bde4,18,Students,2015-10-10,1982-10-10,O,78,3C,応援団,Cheerleader,北原沙弥香,Sayaka Kitahara,"頑張っている人の力になりたくて応援団に入った。<br>
姉御肌で、主人公に対しても自分のことを「お姉ちゃん」と言っている。<br>
1年生の林田希羅は妹。見た目がギャル系の妹とはタイプが逆だが、仲は非常に良い。",,ポテトサラダ,Potato Salad,家庭科,Home Economics,SWEET,グミ,Gummi Candy,160,75,スポーツ観戦,Watching Sports,てんびん座,Libra,はやしだ たまき,林田先輩,,聖櫻学園,Seiou Academy,anehayashi,58,49,3,2016-10-30 23:41:30
4,Izumi Shimada,Izumi Shimada,島田泉,1423389b151ac2991751f82cf17f8824,15,Students,2015-12-03,1985-12-03,A,77,1B,手品研究会,Magic Study Group,,,いつも明るく元気な1年生。<br>得意の手品で人を驚かせることが好きで、<br>普段から研究と鍛錬に余念がない。<br>仲良くなると「切断手品の実験台になって欲しい」などと少し怖いお願いをされることも。,,マシュマロ,Marshmallow,美術,Art,SWEET,ゼリー,Jelly,154,78,トランプ,Trump,いて座,Sagittarius,しまだ いずみ,島田,,聖櫻学園,Seiou Academy,magic_island,53,43,1,2016-10-30 23:41:30
5,Chiyori Nabeshima,Chiyori Nabeshima,鍋島ちより,b74cd5d64c1d002bc2fceda915a389b8,17,Students,2015-01-21,1983-01-21,O,81,3A,料理部,Cooking Club,塙愛美,Manami Hanawa,"制服よりもかっぽう着が似合う（？）。<br>
お姉さんというよりお母さんタイプの料理部の3年生。<br>
料理だけでなく家事全般が得意。<br>
落ち着いて所帯じみているせいか、<br>
女子高生に見られないのが本人の悩み。",,肉じゃが,Meat and Potatoes,家庭科,Home Economics,SWEET,なし,None,159,83,お米砥ぎ,Cooking Rice in as Many Ways as Possible,みずがめ座,Aquarius,なべしま ちより,鍋島先輩,,聖櫻学園,Seiou Academy,chiyopan,62,46,3,2016-10-30 23:41:30
6,Megumi Ogura,Megumi Ogura,小倉愛,c031d7481e7e8b8345fe48e0c6de5b09,16,Students,2015-09-23,1984-09-23,A,78,1B,テニス部,Tennis Club,タカオユキ,Yuki Takao,妹オーラを振りまくテニス部所属の1年生。<br>明るい性格で、<br>可愛いものや甘いものが好き。<br>細身で小柄なせいか小学生と間違われることもあり、もう少し身長が欲しいと思っている。,,ワッフル,Waffles,体育,Physical Education,SWEET,なまこ,Sea Cucumbers,156,80,テニス、,Playing Tennis,おとめ座,Libra,おぐら めぐみ,小倉,,聖櫻学園,Seiou Academy,meguchi,58,46,1,2016-10-30 23:41:30
7,Tatsuru Iwamoto,Tatsuru Iwamoto,岩本樹,db908c2f6761ea0a5df5f30b9a0819b2,16,Students,2015-02-11,1984-02-11,AB,73,2A,歴史研究会,History Study Group,世戸さおり,Saori Seto,歴史研究会に所属する2年生。<br>軍事オタクで普段から軍人のような口調で話し、生真面目で厳しい。<br>一人称は「自分」。<br>同じ歴史研究会に所属する前田彩賀と趣味はまるで違うものの、仲は良いようだ。,,レーション,Rations,近代史,Modern History,COOL,カボチャ,Pumpkin,164,76,プラモデル,Constructing Plastic Models,みずがめ座,Aquarius,いわもと たつる,岩本,,聖櫻学園,Seiou Academy,sergeant_rock,57,49,2,2016-10-30 23:41:30
8,Saika Maeda,Saika Maeda,前田彩賀,877c711acd65927fe68357d422117e4d,16,Students,2015-01-15,1984-01-15,B,76,2A,歴史研究会,History Study Group,石黒千尋,Chihiro Ishiguro,"歴史研究部に所属する、いわゆる歴女。<br>
普段から古めかしい言葉づかいを好み、<br>
自ら”もののふ”と自称する。<br>
幕末よりも戦国時代が好きで、<br>
なんでも戦国武将の故事に例える癖がある。",,みかん,Mikan,日本史,Japanese History,COOL,カステーラ,Castella,159,78,全国顔出し看板撮影制覇,Taking Pictures of Signboards Across The Nation,やぎ座,Capricorn,まえだ さいか,前田,,聖櫻学園,Seiou Academy,kagahan,58,49,2,2016-10-30 23:41:30
9,Mitsuko Kaito,Mitsuko Kaito,皆藤蜜子,24d1e95b66e45e2b92f533ef1adb8dcf,18,Students,2015-09-01,1982-09-01,AB,100,3C,書道部,Calligraphy Club,たかはし智秋,Chiaki Takahashi,校内最大のバストの持ち主で、<br>過剰な色気を振りまく書道部員。<br>会話に四字熟語を良く使う一方で、周囲をドキッとさせる含みを持たせた言動も多い。<br>後輩の白瀬つづりと仲が良く、しばしば行動を共にしている。,,バナナ,Bananas,古典,Classic Literature,COOL,なし,None,168,85,書道、サウナ,Practicing Calligraphy and Relaxing in Saunas,おとめ座,Virgo,かいとう みつこ,皆藤先輩,,聖櫻学園,Seiou Academy,kaimitsu,58,53,3,2016-10-30 23:41:30
10,Misuzu Toyama,Misuzu Toyama,遠山未涼,d0cc263aa9c65622e448f8efbbe1b18b,17,Students,2015-07-23,1983-07-23,A,70,2C,数学研究会,Mathematics Study Group,前田玲奈,Rena Maeda,"頭脳明晰で、常に学年トップクラスの成績をキープする優等生。<br>
勉強ひとすじのせいか生真面目で融通が利かず、性格がきつい。<br>
小学校2年生の頃から眼鏡をかけているが、最近はコンタクトに興味があるらしい。",,マグロ,Tuna,数学,Mathematics,COOL,シュークリーム,Cream Puff,160,70,暗記,Memorizing Things,しし座,Leo,とおやま みすず,遠山,,聖櫻学園,Seiou Academy,t_misuzu,56,45,2,2016-10-30 23:41:30
11,Rito Iseya,Rito Iseya,伊勢谷里都,23ecce1ca59245dc77aaa2f049b113fe,18,Students,2015-11-25,1982-11-25,A,76,3C,フェンシング部,Fencing Club,,,女性ながら騎士道精神にこだわり、<br>正々堂々をモットーとするフェンシング部の3年生。<br>丁寧で礼儀正しい口調で話す。<br>クールで凛々しい彼女だが、「自分のナイトが欲しい」と語ることも。,,スコーン,Scones,体育,Physical Education,COOL,オートミール,Oatmeal,165,78,読書,Reading,いて座,Sagittarius,いせや りと,伊勢谷先輩,,聖櫻学園,Seiou Academy,rito_chivalry,60,53,3,2016-10-30 23:41:30
12,Fuka Mizuno,Fuka Mizuno,水野楓夏,b11ef77961f45a68aac0b3851a6621a9,-1,Teachers,2015-07-26,1970-07-26,B,83,Teacher,購買部,Sales Department,,,学園の購買部に勤めるお姉さん。<br>さっぱりした性格で、<br>みんなの相談役であり、<br>友達のような存在でもある。<br>購買部で売っている食べ物や飲み物、文房具は自信を持って力強くオススメしてくる。,,コーンパン,Bread,家庭科,Home Economics,COOL,浅漬け,Anything Pickled,163,82,ハンカチ収集,Collecting Handkerchiefs,しし座,Leo,みずの ふうか,水野先生,,聖櫻学園,Seiou Academy,mizuno_store,62,47,-1,2016-10-30 23:41:30
13,Chie Kishida,Chie Kishida,岸田稚慧,d7f450e6e56a05a49f04bc3682fa2ee2,17,Students,2015-08-22,1983-08-22,B,71,2B,帰宅部,Going Home Club,辻坂茜,Akane Tsujisaka,"自称イタズラ部所属で、<br>
嘘や仕掛けで人を驚かせるのが大好き。<br>
決して悪意はないが、どんなときでもイタズラのことを考えており、<br>
あの手この手でひたすらイタズラを繰り返す困った人。",,水あめ,Syrup,美術,Art,POP,ピーマン,Green Peppers,154,73,ドッキリ,Getting Candid Reactions From People,しし座,Leo,きしだ ちえ,岸田,,聖櫻学園,Seiou Academy,trick_k,62,44,2,2016-10-30 23:41:30
14,Yuka Koizumi,Yuka Koizumi,小泉由佳,6512e54e67e6f0abf029c89dfaf96064,16,Students,2015-08-06,1984-08-06,A,80,1C,ダンス部,Dance Club,豊田萌絵,Moe Toyota,口調も行動も今風のギャル。<br>元気で明るく、いつもテンションが高い。どこまでも軽くて派手好き。<br>ダンス部に所属してはいるが、<br>一生懸命に打ち込んでいる様子はなく、<br>放課後はもっぱら遊ぶのに忙しい。,,風船ガム,Bubblegum,美術,Art,POP,納豆,Natto,163,82,メイク、携帯電話,Putting On Makeup and Using Her Mobile Phone,しし座,Leo,こいずみ ゆか,小泉,,聖櫻学園,Seiou Academy,yukarinn,55,45,1,2016-10-30 23:41:30
15,Yui Ogawa,Yui Ogawa,緒川唯,525f357b2e279c22edccbd643014905c,18,Students,2015-08-19,1982-08-19,O,92,3A,ダンス部,Dance Club,,,派手めなルックスのダンス部の3年生。<br>いつもノリが良く、テンションが高い。<br>リズム感に自信を持っており、<br>激しい踊りを得意とする。<br>かなりダイナマイトなボディの持ち主で、よくダンス中はすごいことに。,,ハンバーグ,Hamburger,音楽,Music,POP,セロリ,Celery,164,85,ネイルアート、ストリートパフォーマンス,Nail Art and Doing Street Performances,しし座,Leo,おがわ ゆい,緒川先輩,,聖櫻学園,Seiou Academy,dancedancedance,60,48,3,2016-10-30 23:41:30
16,Kurumi Eto,Kurumi Eto,江藤くるみ,d9aeed3dfa5a720aa639aae44d2e8d22,15,Students,2015-02-20,1985-02-20,O,78,1B,軽音部,Light Music Club,洲崎綾,Aya Suzaki,軽音部のガールズバンド「にゅーろん★くりぃむそふと」でギターを担当する1年生。<br>華麗な速弾きテクニックが自慢。<br>明るく前向きで、ちょっとした失敗は気にしない。部活の先輩でベースの黒川凪子と仲が良い。,,アイスクリーム,Ice Cream,音楽,Music,POP,唐辛子,Red Peppers,155,80,音楽鑑賞,Music Appreciation,うお座,Pisces,えとう くるみ,江藤,,聖櫻学園,Seiou Academy,curumilacle,60,48,1,2016-10-30 23:41:30
17,Azusa Higashino,Azusa Higashino,東野梓,51e093b925f56cca1b69f3d317059e44,17,Students,2015-09-12,1983-09-12,A,76,2B,卓球部,Ping Pong Club,,,卓球部の2年生。いつも強気で勝気。<br>卓球に関しては非常に負けず嫌いで、<br>体育の授業でも全力で打ち込む。<br>実力は確かで、男子にも負けたことがない。オリンピックで金メダルを取ることを目標としている。,,ブルーベリー,Blueberries,体育,Physical Education,POP,ゴーヤ,Bitter Gourds,158,77,ランニング,Running,おとめ座,Virgo,ひがしの あずさ,東野,,聖櫻学園,Seiou Academy,azusa_east,63,50,2,2016-10-30 23:41:30
18,Eiko Hayami,Eiko Hayami,早見英子,ee82505c2e653c811dc644529d1da694,17,Students,2015-10-23,1983-10-23,B,70,2C,サッカー部,Soccer Club,加隈亜衣,Ai Kakuma,サッカー部の2年生ポジションはミッドフィルダー。<br>ひたすら快活でおおらかな性格。<br>いつかは女子サッカー日本代表に入りたいと思っている。いまはサッカーに夢中で、恋愛には目が向いていない。,,がんもどき,Ganmodoki,体育,Physical Education,POP,トマト,Tomatoes,165,73,サッカー観戦、,Playing Soccer,てんびん座,Scorpio,はやみ えいこ,早見,,聖櫻学園,Seiou Academy,eiko_soccer,61,53,2,2016-10-30 23:41:30
19,Yuzuki Kiriyama,Yuzuki Kiriyama,桐山優月,627d7d5e88d0cb7f8375f77b3960d904,17,Students,2015-05-05,1983-05-05,AB,78,2C,映画研究会,Movie Study Group,門脇舞以,Mai Kadowaki,おっとりした癒し系に見えるが、<br>話題が大好きなSF映画のことになる途端に饒舌になる。<br>恥ずかしがり屋ですぐ顔を赤らめる。<br>ルックスが良く男子にはモテるが、<br>趣味が合う人でなければ付き合わない主義。,,ポップコーン,Popcorn,化学,Chemistry,POP,いんげん,Green Beans,155,80,DVD鑑賞、映画館めぐり,Watching DVDs and Touring Cinemas,おうし座,Taurus,きりやま ゆづき,桐山,,聖櫻学園,Seiou Academy,moon_walker,55,46,2,2016-10-30 23:41:30
20,Makoto Hiragi,Makoto Hiragi,柊真琴,d5e55c408e3c0a71b445844c017f778f,16,Students,2015-11-22,1984-11-22,A,85,1A,帰宅部,Going Home Club,荒川美穂,Miho Arakawa,甘えん坊で人懐こい1年生。身長が低く、ややぽっちゃり体型。<br>自ら「ドジでノロマ」と言うようにおっちょこちょいなところがあるが、一途で何事にも一生懸命に取り組む努力家である。<br>お菓子作りが得意。,,あんみつ,Anmitsu,家庭科,Home Economics,SWEET,辛口カレー,Dry Curry,148,83,お菓子作り、先輩,Baking and Hanging Out With Her Seniors,さそり座,Sagittarius,ひいらぎ まこと,柊,,聖櫻学園,Seiou Academy,macomaco_hi,63,42,1,2016-10-30 23:41:30
21,Mikoto Kanzaki,Mikoto Kanzaki,神崎ミコト,b30bf155022d066e91736179ed360de3,-1,Teachers,2015-06-06,1970-06-06,B,91,Teacher,保健委員会,Nurse,小林ゆう,Yu Kobayashi,聖櫻学園の保健医。<br>セクシーで思わせぶりな言動から、勘違いする男子が後を絶たない。<br>仕事ぶりはややアバウトなものの、生徒からの人気は高い。<br>ビールは生派で、同僚の荒井薫は飲み仲間。,,天ぷらそば,Tempura Soba,保健体育,Health Care and Physical Education,COOL,麩菓子,Bran Confectioneries,168,88,テディベア集め、ビール,Collecting Teddy Bears and Drinking Beer,ふたご座,Gemini,かんざき みこと,神崎先生,,聖櫻学園,Seiou Academy,m_kanzaki,58,53,-1,2016-10-30 23:41:30
22,Kogiku Enjoji,Kogiku Enjoji,円城寺小菊,92d5109371d63d6ea572bc7194128596,15,Students,2015-03-03,1985-03-03,O,68,1A,日本舞踊部,Traditional Japanese Dancing Club,吉岡沙知,Sunachi Yoshioka,小柄でいつも控えめな、<br>古式ゆかしい言動の1年生。<br>男性をたて、支えながらもその後ろを歩く良妻賢母タイプ。<br>4歳の頃より日本舞踊をたしなんでおり、<br>普段から着物を着ていることが多い。,,あんみつ,Anmitsu,古典,Classic Literature,SWEET,タコ,Octopus,147,70,お人形集め、着物,Collecting Dolls and Kimonos,うお座,Pisces,えんじょうじ こぎく,円城寺,,聖櫻学園,Seiou Academy,kogiku_enj,53,38,1,2016-10-30 23:41:30
23,Ayane Nishino,Ayane Nishino,西野彩音,9353cc494a0e8fa1c3d4febdd6eb979f,15,Students,2015-03-18,1985-03-18,A,69,1A,吹奏楽部,Brass Band,名塚佳織,Kaori Nazuka,いつも一生懸命な吹奏楽部の1年生。<br>担当楽器はパーカッション。<br>小柄なため普段は小太鼓などの小さな楽器を練習しているが、憧れの大きな楽器を演奏するため体力作りの日々を送っている。<br>尊敬する先輩は同じ吹奏楽部の日野奏恵。,,バタークッキー,Butter Cookies,音楽,Music,SWEET,塩辛,Salted Fish,148,71,クラシック音楽鑑賞,Appreciating Classical Music,うお座,Pisces,にしの あやね,西野,,聖櫻学園,Seiou Academy,saion,54,39,1,2016-10-30 23:41:30
24,Miu Hasegawa,Miu Hasegawa,長谷川美卯,850a7e56d9e9e3b355cd700838cc714e,15,Students,2015-03-21,1985-03-21,O,70,1C,飼育委員会,Animal Breeding Club,内田彩,Aya Uchida,生き物全般が好きで、<br>飼育委員会に所属して学校の動物たちの面倒を見ている。<br>自ら草食系と語るが、実際に肉が苦手。<br>なお、彼女が世話をしている動物たちは学園のイベントのたびに借り出されている。,,果物、野菜全般,Fruits and Vegetables,美術,Art,SWEET,肉全般,Meat,153,72,動物園めぐり、うさぎ,Touring Zoos and Breeding Rabbits,うお座,Aries,はせがわ みう,長谷川,,聖櫻学園,Seiou Academy,myuumyuu_zoo,63,42,1,2016-10-30 23:41:30
25,Seri Kawakami,Seri Kawakami,川上瀬莉,226e8e78537ef730478242863257c06d,16,Students,2015-02-06,1984-02-06,O,80,2B,茶道部,Tea Ceremony Club,楠浩子,Hiroko Kusunoki,いつも穏やかな茶道部の2年生。<br>常に丁寧な言葉で話し、ここぞという場面では和服を着こなす和風美人。<br>和に強いこだわりを持っているようで、<br>洋菓子は口に合わないらしい。,,和三盆,Wasanbon,家庭科,Home Economics,SWEET,モンブラン,Mont Blanc,163,81,茶器集め,Collecting Various Types of Tea,みずがめ座,Aquarius,かわかみ せり,川上,,聖櫻学園,Seiou Academy,miseri,62,48,2,2016-10-30 23:41:30
26,Manami Naruse,Manami Naruse,成瀬まなみ,b0978068516fc86bd89e29d60405433d,16,Students,2015-11-02,1984-11-02,A,72,1B,バドミントン部,Badminton Club,儀武ゆう子,Yuko Gibu,ひたすらドジでおっちょこちょいなバドミントン部の1年生。<br>何かにぶつかったり、転んだりしては謝っている。<br>勘違いも多く、学園に間違ったものを持ってくることは日常茶飯事。それでもめげずに立ち直る強さを持っている。,,グラタン,Gratin,体育,Physical Education,SWEET,れんこん,Lotus Root,153,73,日向ぼっこ、散歩,Sunbathing and Walking,さそり座,Scorpio,なるせ まなみ,成瀬,,聖櫻学園,Seiou Academy,manamimi,54,43,1,2016-10-30 23:41:30
27,Airu Isshiki,Airu Isshiki,一色愛瑠,4a96c577ae21373cf31fa8bc7ac990b0,17,Students,2015-03-31,1983-03-31,B,85,3C,アイドル同好会,Idol Research Club,内田愛美,Mami Uchida,自称・学園のアイドルにしてセンター。<br>デビューを夢見る”永遠の16歳”。<br>すでに芸能人のように振舞うなど微妙にズレているところはあるものの、<br>アイドルに関する知識とそうなろうとする意欲は誰にも負けない。,,レモン,Lemons,音楽,Music,SWEET,酢豚,Sweet and Sour Pork,157,87,握手会,Attending Idol Fan Events,おひつじ座,Aries,いっしき あいる,一色先輩,,聖櫻学園,Seiou Academy,idol_airun,65,49,3,2016-10-30 23:41:30
28,Ritsu Godai,Ritsu Godai,五代律,e323c1c39d4b7c220619f4799dd2cb72,18,Students,2015-10-01,1982-10-01,A,68,3B,剣道部,Kendo Club,羅弘美,Hiromi Luo,やや時代がかった喋り方をする剣道部員。<br>1歳の時にはすでに竹刀を握っていた生粋の剣士で、一人称は「拙者」。<br>とある戦国武将の血を引いているらしく、<br>実家は居合の道場を営んでいる。,,ざる蕎麦,Buckwheat Noodles,日本史,Japanese History,COOL,スパゲティ,Spaghetti,170,68,居合、素振り,Practicing Iaido,てんびん座,Libra,ごだい りつ,五代先輩,,聖櫻学園,Seiou Academy,godai,55,48,3,2016-10-30 23:41:30
29,Juria Ryugasaki,Juria Ryugasaki,竜ヶ崎珠里椏,a1af1d24186ea39d2f6292f77fb31f20,16,Students,2015-12-10,1984-12-10,B,85,1A,帰宅部,Going Home Club,森島亜梨紗,Arisa Morishima,腕っ節が強くガラが悪い素行不良の少女。<br>胸に巻いたサラシは硬派の証。<br>随所に当て字を使った独特の口調で話し、<br>年上にも汚い言葉で接するが、<br>仲良くなった相手には敬意を持って応対する,,味噌ラーメン,Miso Ramen,体育,Physical Education,COOL,ハヤシライス,Hayashi Rice,172,83,集会,Rallying,いて座,Sagittarius,りゅうがさき じゅりあ,竜ヶ崎,,聖櫻学園,Seiou Academy,dragonjulia,60,50,1,2016-10-30 23:41:30
30,Rui Kamijo,Rui Kamijo,上条るい,025163cc083863df718413c18faf0f5b,17,Students,2015-05-02,1983-05-02,A,70,2A,弓道部,Archery Club,渡部優衣,Yui Watanabe,主人公の幼馴染で、<br>絵に描いたようなツンデレ女子。<br>文武両道の弓道部員。<br>プライドが高く、いつも上から目線で主人公に対してもきつい口調で接するが、なんだかんだでよく面倒を見ている。,,たこ焼き,Takoyaki,英語,English,COOL,ジャスミン茶,Jasmine Tea,158,73,知恵の輪,Solving Wire Puzzles,おうし座,Taurus,かみじょう るい,上条,,聖櫻学園,Seiou Academy,rui_k,53,44,2,2016-10-30 23:41:30
31,Kumiko Nanjo,Kumiko Nanjo,南條クミコ,a24cdbef41b2063bff850d3127990f79,17,Students,2015-09-09,1983-09-09,B,78,2A,新聞部,Newspaper Editors,東城日沙子,Isago Azuma,スクープを追い求める新聞部の2年生。<br>早口でお喋り。<br>学校での色恋沙汰は、<br>ほとんど把握していると豪語する。<br>好物の牛乳とあんぱんは、張り込みをする時用。あんぱんはつぶあん派。,,あんぱん、牛乳,Anpan and Milk,現代文,Modern Literature,COOL,パイ全般,All Kinds of Pie,162,81,うわさ話、メモ,Gossiping and Taking Memos,おとめ座,Virgo,なんじょう くみこ,南條,,聖櫻学園,Seiou Academy,kumikumi_scoop,62,48,2,2016-10-30 23:41:30
32,Maki Akasegawa,Maki Akasegawa,赤瀬川摩姫,37d8d14cf0043d724fb972702adec55e,17,Students,2015-06-16,1983-06-16,AB,77,2B,オカルト研究会,Occult Research Club,桑門そら,Sora Kuwaku,オカルト研究会所属で、意味ありげな怪しい言動が目立つ。<br>黒魔術に精通している。<br>部長の三嶋ゆららが文字通り「幽霊部長」のため、実質的な活動を一手に引き受けており、肝試しやハロウィンで活躍する。,,ニワトリ,Chicken,生物,Creature Studies,COOL,玉子,Eggs,160,79,黒魔術,Black Magic,ふたご座,Gemini,あかせがわ まき,赤瀬川,,聖櫻学園,Seiou Academy,6black6magic6,56,45,2,2016-10-30 23:41:30
33,Maya Yukikaze,Maya Yukikaze,雪風真弥,c6230dbce2fc956c1f44faf5b00bdc63,17,Students,2015-09-14,1983-09-14,B,68,2B,演劇部,Drama Club,斎藤楓子,Fuko Saito,演劇部の2年生。<br>持ち前の長身を活かして男役を演じることが多いせいか、女子生徒からの圧倒的な人気を誇る。<br>身振り手振り交えたおおげさなジェスチャーと、芝居がかった言動が特徴。,,レバー,Nori,現代国語,Modern Languages,COOL,大根,Radish,173,69,演劇鑑賞、ショッピング,Watching Movies in Theaters and Shopping,おとめ座,Virgo,ゆきかぜ まや,雪風,,聖櫻学園,Seiou Academy,snowwind,64,49,2,2016-10-30 23:41:30
34,Lee Chunyan,Lee Chunyan,李春燕,6dad6cc4931494e66e43cc3fcfc82897,17,Students,2015-10-11,1983-10-11,B,82,2A,中国拳法部,Chinese Kenpo Club,阿部玲子,Reiko Abe,"中国からの留学生。中華料理店でバイトをしており、出前を担当している。<br>
無類の肉まん好きで、自ら作ることも。<br>
中国拳法が最強との持論を持ち、格闘競技系の部活に勝負を申し込んでは断られているらしい。",,中華まん,Chinese Steamed Buns,体育,Physical Education,POP,ピザまん,Pizza,160,85,ブルー○・リー,Watching Martial Arts Movies,てんびん座,Libra,り ちゅんいぇん,李,,聖櫻学園,Seiou Academy,chunyan,58,48,2,2016-10-30 23:41:30
